E_nu nue anue nux
2.000000e-01 6.874791e+53 1.920011e+53 5.905061e+52
4.000000e-01 2.665434e+54 7.510404e+53 2.322568e+53
6.000000e-01 5.807844e+54 1.651780e+54 5.137106e+53
8.000000e-01 9.990256e+54 2.868977e+54 8.975254e+53
1.000000e+00 1.509054e+55 4.377690e+54 1.377853e+54
1.200000e+00 2.098959e+55 6.153294e+54 1.948886e+54
1.400000e+00 2.758429e+55 8.171571e+54 2.604882e+54
1.600000e+00 3.471035e+55 1.040878e+55 3.340139e+54
1.800000e+00 4.233241e+55 1.284172e+55 4.149091e+54
2.000000e+00 5.032093e+55 1.544782e+55 5.026185e+54
2.200000e+00 5.858058e+55 1.820516e+55 5.965997e+54
2.400000e+00 6.702843e+55 2.109257e+55 6.963239e+54
2.600000e+00 7.556450e+55 2.408963e+55 8.012698e+54
2.800000e+00 8.412255e+55 2.717675e+55 9.109294e+54
3.000000e+00 9.263270e+55 3.033519e+55 1.024808e+55
3.200000e+00 1.010316e+56 3.354709e+55 1.142423e+55
3.400000e+00 1.093393e+56 3.679550e+55 1.263308e+55
3.600000e+00 1.173096e+56 4.006440e+55 1.387011e+55
3.800000e+00 1.250266e+56 4.333870e+55 1.513095e+55
4.000000e+00 1.324506e+56 4.660426e+55 1.641136e+55
4.200000e+00 1.395691e+56 4.984787e+55 1.770728e+55
4.400000e+00 1.463194e+56 5.305729e+55 1.901485e+55
4.600000e+00 1.526662e+56 5.622119e+55 2.033031e+55
4.800000e+00 1.586395e+56 5.932914e+55 2.165011e+55
5.000000e+00 1.641986e+56 6.237168e+55 2.297085e+55
5.200000e+00 1.693340e+56 6.534018e+55 2.428930e+55
5.400000e+00 1.740390e+56 6.822687e+55 2.560240e+55
5.600000e+00 1.783101e+56 7.102482e+55 2.690725e+55
5.800000e+00 1.821159e+56 7.372790e+55 2.820112e+55
6.000000e+00 1.854975e+56 7.633032e+55 2.948145e+55
6.200000e+00 1.884500e+56 7.882831e+55 3.074583e+55
6.400000e+00 1.909805e+56 8.121754e+55 3.199203e+55
6.600000e+00 1.930975e+56 8.349474e+55 3.321797e+55
6.800000e+00 1.948096e+56 8.565730e+55 3.442113e+55
7.000000e+00 1.964131e+56 8.770320e+55 3.560086e+55
7.200000e+00 1.970545e+56 8.963096e+55 3.675495e+55
7.400000e+00 1.975965e+56 9.143966e+55 3.788192e+55
7.600000e+00 1.977427e+56 9.312882e+55 3.898040e+55
7.800000e+00 1.985977e+56 9.469845e+55 4.004919e+55
8.000000e+00 1.983119e+56 9.614895e+55 4.108718e+55
8.200000e+00 1.977376e+56 9.748112e+55 4.209340e+55
8.400000e+00 1.968517e+56 9.869611e+55 4.306701e+55
8.600000e+00 1.960549e+56 9.979537e+55 4.400726e+55
8.800000e+00 1.946699e+56 1.007807e+56 4.491354e+55
9.000000e+00 1.930696e+56 1.016540e+56 4.578531e+55
9.200000e+00 1.912686e+56 1.024176e+56 4.662214e+55
9.400000e+00 1.895021e+56 1.030739e+56 4.742374e+55
9.600000e+00 1.873350e+56 1.036255e+56 4.818986e+55
9.800000e+00 1.850114e+56 1.040753e+56 4.892034e+55
1.000000e+01 1.825455e+56 1.044261e+56 4.961511e+55
1.020000e+01 1.799506e+56 1.046810e+56 5.027417e+55
1.040000e+01 1.772397e+56 1.048430e+56 5.089763e+55
1.060000e+01 1.744254e+56 1.049153e+56 5.148558e+55
1.080000e+01 1.715197e+56 1.049013e+56 5.203822e+55
1.100000e+01 1.685341e+56 1.048041e+56 5.255587e+55
1.120000e+01 1.654793e+56 1.046272e+56 5.303881e+55
1.140000e+01 1.622634e+56 1.043738e+56 5.348741e+55
1.160000e+01 1.592029e+56 1.040472e+56 5.390300e+55
1.180000e+01 1.559251e+56 1.036508e+56 5.428419e+55
1.200000e+01 1.527671e+56 1.031879e+56 5.463240e+55
1.220000e+01 1.493820e+56 1.026617e+56 5.494816e+55
1.240000e+01 1.461150e+56 1.020755e+56 5.523104e+55
1.260000e+01 1.428396e+56 1.014324e+56 5.548361e+55
1.280000e+01 1.395623e+56 1.007357e+56 5.570550e+55
1.300000e+01 1.362895e+56 9.998828e+55 5.589732e+55
1.320000e+01 1.330267e+56 9.919326e+55 5.605976e+55
1.340000e+01 1.297793e+56 9.835357e+55 5.619346e+55
1.360000e+01 1.265520e+56 9.747208e+55 5.629913e+55
1.380000e+01 1.233493e+56 9.655160e+55 5.637747e+55
1.400000e+01 1.201753e+56 9.559484e+55 5.642918e+55
1.420000e+01 1.170337e+56 9.460400e+55 5.645499e+55
1.440000e+01 1.139278e+56 9.358304e+55 5.645563e+55
1.460000e+01 1.108605e+56 9.253304e+55 5.643183e+55
1.480000e+01 1.078348e+56 9.145645e+55 5.638431e+55
1.500000e+01 1.048529e+56 9.035646e+55 5.631382e+55
