Recoil Energy(keV) 	 Counts
1.159128e-03	3.834906e-02
1.528029e-03	5.053014e-02
2.014334e-03	6.657326e-02
2.655410e-03	8.769856e-02
3.500512e-03	1.155089e-01
4.614573e-03	1.521087e-01
6.083192e-03	2.002563e-01
8.019209e-03	2.659637e-01
1.057138e-02	3.674367e-01
1.393579e-02	4.854936e-01
1.837095e-02	6.392614e-01
2.421762e-02	8.385058e-01
3.192505e-02	1.058643e+00
4.208541e-02	1.336734e+00
5.547937e-02	1.747205e+00
7.313606e-02	2.280486e+00
9.641210e-02	2.974832e+00
1.270959e-01	3.889493e+00
1.675450e-01	5.071485e+00
2.208674e-01	6.301570e+00
2.911599e-01	7.686557e+00
3.838235e-01	9.855705e+00
5.059779e-01	1.134695e+01
6.670088e-01	1.345771e+01
8.792888e-01	1.621393e+01
1.159128e+00	2.027669e+01
1.528029e+00	2.513881e+01
2.014334e+00	2.993566e+01
2.655410e+00	2.291324e+01
3.500512e+00	2.473391e+01
4.614573e+00	2.856196e+01
6.083192e+00	2.995983e+01
8.019209e+00	2.404930e+01
1.057138e+01	1.992470e+01
1.393579e+01	1.753047e+01
1.837095e+01	1.352894e+01
2.421762e+01	9.755262e+00
3.192505e+01	6.733084e+00
4.208541e+01	4.481187e+00
5.547937e+01	2.628893e+00
7.313606e+01	1.473608e+00
9.641210e+01	6.684184e-01
1.270959e+02	2.377759e-01
1.675450e+02	5.737186e-02
2.208674e+02	5.214661e-03
2.911599e+02	1.212172e-03
3.838235e+02	3.066405e-03
5.059779e+02	1.463221e-03
6.670088e+02	1.342454e-04
8.792888e+02	2.364794e-05
