# Recoil Energy(keV) 	 Counts
1.168329e-03	7.555229e-03
1.561658e-03	1.009654e-02
2.087404e-03	1.349194e-02
2.790147e-03	1.802802e-02
3.729475e-03	2.408719e-02
4.985036e-03	3.217959e-02
6.663293e-03	4.298540e-02
8.906550e-03	5.741095e-02
1.190502e-02	7.666306e-02
1.591295e-02	1.023469e-01
2.127019e-02	1.371950e-01
2.843099e-02	1.906661e-01
3.800253e-02	2.562459e-01
5.079642e-02	3.449157e-01
6.789749e-02	4.595246e-01
9.075579e-02	5.878573e-01
1.213095e-01	7.662538e-01
1.621495e-01	1.000603e+00
2.167385e-01	1.320934e+00
2.897055e-01	1.749048e+00
3.872374e-01	2.315425e+00
5.176044e-01	3.073201e+00
6.918605e-01	3.727263e+00
9.247815e-01	4.848146e+00
1.236117e+00	5.935483e+00
1.652267e+00	7.136397e+00
2.208518e+00	8.519930e+00
2.952035e+00	1.065180e+01
3.945864e+00	1.325813e+01
5.274274e+00	1.638117e+01
7.049906e+00	1.501859e+01
9.423320e+00	1.650261e+01
1.259576e+01	1.673692e+01
1.683624e+01	1.803402e+01
2.250431e+01	1.628529e+01
3.008059e+01	1.477754e+01
4.020749e+01	1.251565e+01
5.374370e+01	1.030078e+01
7.183699e+01	8.189525e+00
9.602155e+01	6.061429e+00
1.283481e+02	4.370955e+00
1.715576e+02	3.014664e+00
2.293140e+02	1.977191e+00
3.065146e+02	1.218711e+00
4.097054e+02	7.025137e-01
5.476364e+02	3.635756e-01
7.320031e+02	1.692898e-01
9.784385e+02	6.958319e-02
1.307839e+03	2.397334e-02
1.748134e+03	6.426398e-03
