time  	 	 mean eVth 	 	 stdev eVth 
 	 50 	 100 	 50 	 100 
-0.05 	 0.0050000000000000044 	 31.3 	 30.97 	 5.638853311327283 	 5.61329671405316
-0.045 	 0.005000000000000001 	 31.683333333333334 	 31.45 	 5.830070516059152 	 5.79317126739175
-0.04 	 0.0049999999999999975 	 29.866666666666667 	 29.563333333333333 	 5.784077761886985 	 5.791889923754498
-0.035 	 0.005000000000000001 	 27.333333333333332 	 27.053333333333335 	 5.106422970686579 	 5.061997848895456
-0.03 	 0.005000000000000001 	 25.643333333333334 	 25.29 	 4.867866290503697 	 4.885273789666246
-0.025 	 0.004999999999999999 	 22.38 	 21.966666666666665 	 4.964097769652272 	 4.935472509181759
-0.02 	 0.005000000000000001 	 19.15 	 18.85 	 4.412198998232061 	 4.355934649035344
-0.015 	 0.005 	 16.843333333333334 	 16.563333333333333 	 4.312631318451519 	 4.307279368180749
-0.01 	 0.004999999999999999 	 15.23 	 14.92 	 3.883782520516135 	 3.7974026210907197
-0.005 	 0.005 	 15.966666666666667 	 15.653333333333334 	 3.8771409856003713 	 3.8401157389965332
0.0 	 0.003 	 19.573333333333334 	 19.256666666666668 	 4.425451640479446 	 4.381490106750848
0.001 	 0.001 	 20.68 	 20.373333333333335 	 4.438197832454069 	 4.41444094862406
0.002 	 0.001 	 22.26 	 21.916666666666668 	 4.893437782718131 	 4.852805603176601
0.003 	 0.001 	 23.84 	 23.503333333333334 	 5.017409690268475 	 4.973595837576226
0.004 	 0.001 	 26.44333333333333 	 26.09 	 5.285211022802738 	 5.2910521952947445
0.005 	 0.001 	 28.253333333333334 	 27.86 	 5.262682036967673 	 5.177554120109868
0.006 	 0.001 	 31.186666666666667 	 30.77 	 5.533999959844195 	 5.476352192229179
0.007 	 0.001 	 34.626666666666665 	 34.126666666666665 	 5.598864964337762 	 5.56452653471574
0.008 	 0.0009999999999999996 	 38.50333333333333 	 37.95666666666666 	 6.3605546578545775 	 6.2982634290907695
0.009 	 0.001 	 43.446666666666665 	 42.92 	 6.970448734160202 	 6.883332526230784
0.01 	 0.001 	 49.403333333333336 	 48.78333333333333 	 6.94650911529589 	 6.958667656639133
0.011 	 0.001 	 55.68 	 54.946666666666665 	 7.455038564621916 	 7.382670399132161
0.012 	 0.001 	 64.21666666666667 	 63.346666666666664 	 8.123405826512807 	 8.105131433576851
0.013 	 0.001 	 71.50666666666666 	 70.62333333333333 	 8.17985058271577 	 8.149117880005308
0.014 	 0.001 	 81.99333333333334 	 81.02333333333333 	 9.674707001018458 	 9.635496296968252
0.015 	 0.001 	 95.60666666666667 	 94.46333333333334 	 10.129426878599247 	 10.105872330262022
0.016 	 0.0010000000000000009 	 114.89333333333333 	 113.47666666666667 	 10.144060111984528 	 10.029097112347097
0.017 	 0.0009999999999999992 	 145.82333333333332 	 144.29666666666665 	 13.026081102499282 	 12.959757799520105
0.018 	 0.0009999999999999992 	 187.30333333333334 	 185.67 	 14.149605020007527 	 14.100866403641067
0.019 	 0.0010000000000000009 	 250.13333333333333 	 248.05333333333334 	 16.175564561674157 	 16.21513147923534
