time  	 	 mean eVth 	 	 stdev eVth 
 	 50 	 100 	 50 	 100 
5.5 	 0.1 	 62.98 	 62.48 	 9.43077939515 	 9.44720064358
5.6 	 0.1 	 61.88 	 61.4 	 7.45020805079 	 7.38918128076
5.7 	 0.1 	 59.78 	 59.44 	 7.04922690797 	 7.0743480265
5.8 	 0.1 	 58.32 	 57.72 	 8.5870600324 	 8.51830969148
5.9 	 0.1 	 57.96 	 57.52 	 8.15342872662 	 8.14429861928
6.0 	 0.1 	 54.36 	 54.0 	 7.37769611735 	 7.46190324247
6.1 	 0.1 	 56.52 	 56.24 	 7.81854206358 	 7.8372444137
6.2 	 0.1 	 55.66 	 55.14 	 8.39430759503 	 8.30423988093
6.3 	 0.1 	 53.44 	 52.86 	 7.01187564065 	 6.82351815415
6.4 	 0.1 	 54.54 	 54.08 	 7.26418612096 	 7.19677705643
6.5 	 0.1 	 55.4 	 55.14 	 8.0099937578 	 7.95741163947
6.6 	 0.1 	 53.04 	 52.46 	 6.91653092236 	 6.78589714039
6.7 	 0.1 	 50.74 	 50.36 	 7.10439300715 	 7.1014364744
6.8 	 0.1 	 50.78 	 50.3 	 6.93192613925 	 7.06328535456
6.9 	 0.1 	 50.34 	 50.02 	 6.05180964671 	 6.01827217729
7.0 	 0.1 	 50.56 	 50.0 	 6.39737446145 	 6.36867333124
7.1 	 0.1 	 47.6 	 47.24 	 7.66550715869 	 7.76546199527
7.2 	 0.1 	 48.82 	 48.34 	 7.85541851208 	 7.86793492601
7.3 	 0.1 	 50.38 	 49.9 	 5.80995697058 	 5.71051661411
7.4 	 0.1 	 46.52 	 46.06 	 7.0006856807 	 7.13417129035
7.5 	 0.1 	 47.2 	 46.9 	 6.62419806467 	 6.64605145933
7.6 	 0.1 	 45.24 	 44.86 	 6.13044859696 	 6.10904247816
7.7 	 0.1 	 46.5 	 46.18 	 7.4866547937 	 7.39375412088
7.8 	 0.1 	 44.7 	 44.38 	 7.12249956125 	 7.05376495214
7.9 	 0.1 	 45.28 	 45.02 	 6.71130389716 	 6.73049775277
8.0 	 0.1 	 44.44 	 44.14 	 5.84520316157 	 5.63918433818
8.1 	 0.1 	 42.36 	 41.9 	 5.88815760659 	 5.80430874437
8.2 	 0.1 	 42.56 	 42.28 	 6.29653873172 	 6.18074429175
8.3 	 0.1 	 42.76 	 42.34 	 7.40691568738 	 7.47692450142
8.4 	 0.1 	 41.58 	 41.36 	 5.75183448997 	 5.64892910205
8.5 	 0.1 	 42.14 	 41.66 	 6.97426698657 	 6.94149839732
8.6 	 0.1 	 40.08 	 39.86 	 6.04595732701 	 6.0266408554
