time  	 	 mean eVth 	 	 stdev eVth 
 	 50 	 100 	 50 	 100 
0.014 	 0.001 	 82.19 	 81.18666666666667 	 8.777655343731226 	 8.638585275122054
0.015 	 0.001 	 95.30333333333333 	 94.15666666666667 	 9.763093202919293 	 9.661200178491743
0.016 	 0.0010000000000000009 	 115.69666666666667 	 114.37 	 11.090746393077229 	 11.032970286071349
0.017 	 0.0009999999999999992 	 143.62333333333333 	 142.1 	 11.2190963193219 	 11.167064669524096
0.018 	 0.0009999999999999992 	 187.11666666666667 	 185.52666666666667 	 13.300240181624122 	 13.186961574053196
0.019 	 0.0010000000000000009 	 248.06666666666666 	 246.03666666666666 	 15.239932924903428 	 15.107017868821394
0.02 	 0.0010000000000000009 	 332.82 	 330.4433333333333 	 17.679392900587207 	 17.463298339342682
0.021 	 0.0009999999999999992 	 435.94666666666666 	 432.9 	 20.02741010604106 	 19.952861114804232
0.022 	 0.0009999999999999992 	 559.2633333333333 	 555.6733333333333 	 25.38517918436311 	 25.245856865808474
0.023 	 0.0010000000000000009 	 689.9433333333334 	 685.8433333333334 	 26.511509240747163 	 26.503436045581378
0.024 	 0.0010000000000000009 	 840.03 	 835.4933333333333 	 28.147630450892308 	 27.996248955093172
0.025 	 0.0009999999999999992 	 988.7066666666667 	 983.5566666666666 	 32.381279914309886 	 32.02707379008509
0.026 	 0.0009999999999999992 	 1133.07 	 1127.27 	 34.713375424083054 	 34.67127196974464
0.027 	 0.0010000000000000009 	 1273.84 	 1267.5733333333333 	 31.731284247568674 	 31.771128752724895
0.028 	 0.0010000000000000009 	 1401.8033333333333 	 1395.13 	 37.35172448792991 	 37.375746592320176
0.029 	 0.0009999999999999992 	 1528.26 	 1520.9266666666667 	 38.63882848465604 	 38.50274391376398
0.03 	 0.0009999999999999992 	 1634.8033333333333 	 1627.3133333333333 	 39.60090052286971 	 39.28598336415787
0.031 	 0.0010000000000000009 	 1727.6633333333334 	 1719.9666666666667 	 41.029704551160926 	 40.97623972770345
0.032 	 0.0010000000000000009 	 1815.35 	 1807.0866666666666 	 42.399538126415166 	 42.03291355857006
0.033 	 0.0010000000000000009 	 1896.2133333333334 	 1887.8166666666666 	 41.096161486066904 	 40.97816152808984
0.034 	 0.0010000000000000009 	 1963.8066666666666 	 1955.19 	 48.285566741579785 	 48.04526234014477
0.035 	 0.0009999999999999974 	 2021.42 	 2012.83 	 44.21044672925168 	 43.74724105586546
0.036 	 0.0009999999999999974 	 2070.09 	 2061.7533333333336 	 48.5708612922055 	 48.3463113610772
0.037 	 0.0010000000000000009 	 2113.44 	 2104.4133333333334 	 46.72087042568164 	 46.81647668170779
0.038 	 0.0010000000000000009 	 2156.8033333333333 	 2148.0533333333333 	 46.191102919164955 	 45.96002417560529
