time  	 	 mean eVth 	 	 stdev eVth 
 	 50 	 100 	 50 	 100 
-0.019 	 0.0 	 0.0 	 0.0 	 0.0
-0.0189692 	 0.0 	 0.0 	 0.0 	 0.0
-0.0189374 	 0.0 	 0.0 	 0.0 	 0.0
-0.0189047 	 0.0 	 0.0 	 0.0 	 0.0
-0.0188709 	 0.0 	 0.0 	 0.0 	 0.0
-0.0188361 	 0.0 	 0.0 	 0.0 	 0.0
-0.0188002 	 0.0 	 0.0 	 0.0 	 0.0
-0.0187632 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0187251 	 0.0 	 0.0 	 0.0 	 0.0
-0.0186858 	 0.0 	 0.0 	 0.0 	 0.0
-0.0186453 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0186036 	 0.0 	 0.0 	 0.0 	 0.0
-0.0185605 	 0.0 	 0.0 	 0.0 	 0.0
-0.0185161 	 0.0 	 0.0 	 0.0 	 0.0
-0.0184704 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0184233 	 0.0 	 0.0 	 0.0 	 0.0
-0.0183747 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0183246 	 0.0 	 0.0 	 0.0 	 0.0
-0.0182729 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0182197 	 0.0 	 0.0 	 0.0 	 0.0
-0.0181648 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0181082 	 0.0 	 0.0 	 0.0 	 0.0
-0.0180499 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0179898 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0179279 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.017864 	 0.0 	 0.0 	 0.0 	 0.0
-0.0177982 	 0.0 	 0.0 	 0.0 	 0.0
-0.0177303 	 0.0 	 0.0 	 0.0 	 0.0
-0.0176603 	 0.0 	 0.0 	 0.0 	 0.0
-0.0175882 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0175139 	 0.0 	 0.0 	 0.0 	 0.0
-0.0174373 	 0.0 	 0.0 	 0.0 	 0.0
-0.0173583 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0172768 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0171929 	 0.0 	 0.0 	 0.0 	 0.0
-0.0171064 	 0.0 	 0.0 	 0.0 	 0.0
-0.0170172 	 0.0 	 0.0 	 0.0 	 0.0
-0.0169253 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0168305 	 0.0 	 0.0 	 0.0 	 0.0
-0.0167328 	 0.0 	 0.0 	 0.0 	 0.0
-0.0166321 	 0.0 	 0.0 	 0.0 	 0.0
-0.0165283 	 0.0 	 0.0 	 0.0 	 0.0
-0.0164213 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.016311 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.0161973 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.01608 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.0159592 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0158347 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0157063 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0155739 	 0.0 	 0.0 	 0.0 	 0.0
-0.0154375 	 0.0 	 0.0 	 0.0 	 0.0
-0.0152969 	 0.0 	 0.0 	 0.0 	 0.0
-0.0151519 	 0.04 	 0.04 	 0.19595917942265426 	 0.19595917942265426
-0.0150025 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0148485 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.0146897 	 0.06 	 0.06 	 0.23748684174075835 	 0.23748684174075835
-0.014526 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.0143573 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.0141833 	 0.0 	 0.0 	 0.0 	 0.0
-0.0140041 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0138192 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0136287 	 0.0 	 0.0 	 0.0 	 0.0
-0.0134324 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0132299 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0130213 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.0128061 	 0.08 	 0.08 	 0.2712931993250107 	 0.2712931993250107
-0.0125844 	 0.06 	 0.06 	 0.23748684174075835 	 0.23748684174075835
-0.0123558 	 0.12 	 0.12 	 0.3249615361854384 	 0.3249615361854384
-0.0121202 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.0118774 	 0.06 	 0.06 	 0.23748684174075835 	 0.23748684174075835
-0.011627 	 0.0 	 0.0 	 0.0 	 0.0
-0.0113689 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0111029 	 0.1 	 0.1 	 0.3 	 0.3
-0.0108286 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.010546 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.0102546 	 0.06 	 0.06 	 0.23748684174075835 	 0.23748684174075835
-0.00995417 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.00964453 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.00932535 	 0.02 	 0.02 	 0.13999999999999999 	 0.13999999999999999
-0.00899633 	 0.16 	 0.16 	 0.36660605559646714 	 0.36660605559646714
-0.00865716 	 0.08 	 0.08 	 0.2712931993250107 	 0.2712931993250107
-0.00830754 	 0.08 	 0.06 	 0.2712931993250107 	 0.23748684174075835
-0.00794715 	 0.04 	 0.04 	 0.19595917942265428 	 0.19595917942265428
-0.00757565 	 0.1 	 0.1 	 0.3 	 0.3
-0.00719269 	 0.08 	 0.08 	 0.2712931993250107 	 0.2712931993250107
-0.00679794 	 0.14 	 0.14 	 0.4004996878900157 	 0.4004996878900157
-0.00639101 	 0.22 	 0.22 	 0.41424630354415964 	 0.41424630354415964
-0.00597154 	 0.18 	 0.16 	 0.38418745424597095 	 0.36660605559646714
-0.00553915 	 0.24 	 0.22 	 0.5499090833947008 	 0.54
-0.00509342 	 0.18 	 0.16 	 0.4331281565541543 	 0.417612260356422
