time  	 	 mean/s eVth 	 	 stdev/s eVth 
 	 50 	 100 	 50 	 100 
-0.05 	 0.0050000000000000044 	 4.92 	 4.86 	 2.1618510586994657 	 2.1261232325526196
-0.045 	 0.005000000000000001 	 4.48 	 4.36 	 1.6880758276807353 	 1.752255689104761
-0.04 	 0.0049999999999999975 	 4.38 	 4.26 	 2.067752402972851 	 2.057279757349496
-0.035 	 0.005000000000000001 	 6.0 	 5.8 	 2.32379000772445 	 2.3832750575625967
-0.03 	 0.005000000000000001 	 7.06 	 6.92 	 2.2575207640241097 	 2.2964320151051716
-0.025 	 0.004999999999999999 	 7.82 	 7.62 	 2.363810483097154 	 2.2793858822059945
-0.02 	 0.005000000000000001 	 9.48 	 9.28 	 3.054439392098 	 3.026813505982818
-0.015 	 0.005 	 11.9 	 11.72 	 2.751363298439521 	 2.6536013264995177
-0.01 	 0.004999999999999999 	 17.38 	 17.1 	 3.898153408987389 	 3.9862262855989496
-0.005 	 0.005 	 20.7 	 20.42 	 5.208646657242167 	 5.048128366038249
0.0 	 0.003 	 27.06 	 26.64 	 5.569236931573301 	 5.6807041817014206
0.001 	 0.001 	 29.6 	 29.26 	 4.69041575982343 	 4.848958651092005
0.002 	 0.001 	 31.24 	 30.84 	 5.453659321959889 	 5.5618701890641065
0.003 	 0.001 	 32.88 	 32.44 	 5.53404011550332 	 5.437499425287326
0.004 	 0.001 	 35.42 	 35.0 	 5.709956216995013 	 5.744562646538029
0.005 	 0.001 	 38.88 	 38.38 	 6.84 	 6.611777370722641
0.006 	 0.001 	 40.54 	 40.0 	 6.109697210173349 	 6.11228271597445
0.007 	 0.001 	 44.34 	 43.76 	 5.47945252739724 	 5.4352920804681695
0.008 	 0.0009999999999999996 	 48.6 	 47.84 	 8.091971329657564 	 7.8876105380527
0.009 	 0.001 	 53.4 	 52.8 	 7.152621896899067 	 7.299315036357863
0.01 	 0.001 	 55.84 	 55.14 	 6.497260961359025 	 6.34037853759537
0.011 	 0.001 	 62.62 	 61.92 	 6.663002326279049 	 6.58738187749883
0.012 	 0.001 	 68.82 	 67.98 	 7.303944139983547 	 7.412125201317096
0.013 	 0.001 	 73.1 	 72.36 	 8.266196223173026 	 8.250478773986393
0.014 	 0.001 	 81.08 	 80.1 	 8.788264902698371 	 8.593602271457529
