time  	 	 mean eVth 	 	 stdev eVth 
 	 50 	 100 	 50 	 100 
0.04 	 0.0010000000000000009 	 2330.16 	 2320.02 	 52.482896261544106 	 51.871182751119136
0.041 	 0.0010000000000000009 	 2355.66 	 2344.66 	 47.59563425357415 	 48.11012783188172
0.042 	 0.0009999999999999974 	 2391.68 	 2381.4 	 45.44510534700079 	 45.31489821239809
0.043 	 0.0009999999999999974 	 2418.52 	 2408.06 	 43.698622403915664 	 43.7481016731012
0.044 	 0.0010000000000000009 	 2424.2 	 2413.8 	 50.86255990411808 	 51.29873292782191
0.045 	 0.0010000000000000009 	 2430.66 	 2420.36 	 43.437592014291035 	 42.924007268660276
0.046 	 0.0010000000000000009 	 2448.14 	 2437.5 	 51.39377783350821 	 52.07773036529146
0.047 	 0.0010000000000000009 	 2465.28 	 2455.4 	 39.88234697206271 	 39.559069756504634
0.048 	 0.0010000000000000009 	 2460.94 	 2450.9 	 46.98698117564055 	 47.33212439770689
0.049 	 0.0010000000000000009 	 2454.2 	 2444.7 	 50.998431348424816 	 50.90117876827608
0.05 	 0.0007500000000000007 	 2436.36 	 2427.74 	 47.918998320081776 	 48.24429914508034
0.0505 	 0.000499999999999997 	 2443.58 	 2433.96 	 48.49333562459897 	 48.08074874624978
0.051 	 0.000499999999999997 	 2424.86 	 2416.34 	 57.64512468544066 	 57.02126270085573
0.0515 	 0.0005000000000000004 	 2429.76 	 2420.14 	 61.37607351403314 	 61.05375008957271
0.052 	 0.0005000000000000004 	 2434.32 	 2424.84 	 43.95472215814815 	 43.394635613172284
0.0525 	 0.0005000000000000004 	 2421.14 	 2411.52 	 49.868230367639875 	 49.881555709500475
0.053 	 0.0005000000000000004 	 2421.4 	 2412.18 	 48.48958651092005 	 47.97069522114517
0.0535 	 0.0005000000000000004 	 2429.28 	 2420.88 	 57.63854266027204 	 57.65401633884668
0.054 	 0.0005000000000000004 	 2424.16 	 2414.94 	 43.9719728918319 	 43.56531188916246
0.0545 	 0.0005000000000000004 	 2415.24 	 2405.9 	 52.65645639425426 	 52.56510249205265
0.055 	 0.0005000000000000004 	 2430.26 	 2421.28 	 52.629957248700094 	 51.67205821331293
0.0555 	 0.0005000000000000004 	 2431.78 	 2423.2 	 43.436063357537364 	 42.98976622406779
0.056 	 0.0005000000000000004 	 2436.8 	 2427.62 	 50.16572535108009 	 49.44002022653308
0.0565 	 0.0005000000000000004 	 2438.16 	 2429.18 	 54.31587613212182 	 54.23161070814695
0.057 	 0.0005000000000000004 	 2435.48 	 2426.2 	 49.059653484304185 	 48.42685205544544
